id,priority,category,description,source,status,assignee,estimated_hours,file_location
M3,Medium,i18n,"Accessibility labels 未国际化",Round2,pending,,2,web/src/components/
M4,Medium,i18n,"示例内容未本地化 (仅英文)",Round2,pending,,3,web/src/components/GeneratePanel.tsx
M5,Medium,Stop,"Agent Cleanup 方法是空实现",Round2,pending,,3,internal/application/agents/*/agent.go
M6,Medium,Stop,"无临时文件追踪",Round2,pending,,2,
M7,Medium,Stop,"无显式 session 追踪",Round2,pending,,2,
M8,Medium,Pipeline,"输出 key 命名不一致",Round2,pending,,1,
DEFECT-COUPLING-001,Medium,Config,"main.go 375 行紧耦合",Round1,pending,,4,cmd/server/main.go
DEFECT-SCHEMA-001,Medium,Config,"缺少 JSON Schema 验证",Round1,pending,,3,
DEFECT-COST-001,Medium,UI,"UI 不显示 token 成本",Round1,pending,,2,web/src/components/
DEFECT-OBS-001,Medium,Config,"Prometheus 端点未连接",Round1,pending,,3,
L1,Low,Flow,"前端缺少 run_started 事件处理",Round2,pending,,1,web/src/lib/sse.ts
L2,Low,i18n,"No content 文字未翻译",Round2,pending,,0.5,web/src/components/DualInputPanel.tsx
L3,Low,i18n,"图片 alt 文字未翻译",Round2,pending,,0.5,web/src/components/ImageUpload.tsx
L4,Low,Stop,"无取消确认",Round2,pending,,1,
L5,Low,Stop,"无清理超时",Round2,pending,,1,
L6,Low,Prompt,"Token 限制硬编码",Round2,pending,,1,
DEFECT-VERSION-001,Low,Prompt,"Prompt 版本管理不一致",Round1,pending,,1,
DEFECT-MODE-001,Low,Pipeline,"Pipeline mode 验证不完整",Round1,pending,,1,
